Time (s),A(a),R(r),A(a!1).R(r!1)
0,1000,1000,0
2e-05,990,990,10
4e-05,980,980,20
6e-05,966,966,34
8e-05,955,955,45
0.0001,947,947,53
0.00012,941,941,59
0.00014,932,932,68
0.00016,920,920,80
0.00018,905,905,95
0.0002,892,892,108
0.00022,882,882,118
0.00024,871,871,129
0.00026,861,861,139
0.00028,851,851,149
0.0003,845,845,155
0.00032,839,839,161
0.00034,830,830,170
0.00036,820,820,180
0.00038,809,809,191
0.0004,800,800,200
0.00042,796,796,204
0.00044,788,788,212
0.00046,779,779,221
0.00048,772,772,228
0.0005,763,763,237
0.00052,756,756,244
0.00054,751,751,249
0.00056,745,745,255
0.00058,738,738,262
0.0006,732,732,268
0.00062,726,726,274
0.00064,724,724,276
0.00066,721,721,279
0.00068,716,716,284
0.0007,713,713,287
0.00072,709,709,291
0.00074,707,707,293
0.00076,704,704,296
0.00078,699,699,301
0.0008,689,689,311
0.00082,687,687,313
0.00084,679,679,321
0.00086,675,675,325
0.00088,670,670,330
0.0009,666,666,334
0.00092,659,659,341
0.00094,656,656,344
0.00096,653,653,347
0.00098,649,649,351
0.001,643,643,357
0.00102,639,639,361
0.00104,636,636,364
0.00106,634,634,366
0.00108,632,632,368
0.0011,628,628,372
0.00112,622,622,378
0.00114,620,620,380
0.00116,617,617,383
0.00118,613,613,387
0.0012,611,611,389
0.00122,607,607,393
0.00124,604,604,396
0.00126,601,601,399
0.00128,592,592,408
0.0013,586,586,414
0.00132,580,580,420
0.00134,576,576,424
0.00136,575,575,425
0.00138,572,572,428
0.0014,566,566,434
0.00142,565,565,435
0.00144,563,563,437
0.00146,564,564,436
0.00148,556,556,444
0.0015,547,547,453
0.00152,542,542,458
0.00154,542,542,458
0.00156,539,539,461
0.00158,533,533,467
0.0016,531,531,469
0.00162,528,528,472
0.00164,525,525,475
0.00166,519,519,481
0.00168,516,516,484
0.0017,511,511,489
0.00172,506,506,494
0.00174,505,505,495
0.00176,505,505,495
0.00178,506,506,494
0.0018,503,503,497
0.00182,502,502,498
0.00184,500,500,500
0.00186,500,500,500
0.00188,501,501,499
0.0019,499,499,501
0.00192,498,498,502
0.00194,494,494,506
0.00196,493,493,507
0.00198,491,491,509
0.002,486,486,514
0.00202,485,485,515
0.00204,480,480,520
0.00206,478,478,522
0.00208,475,475,525
0.0021,472,472,528
0.00212,469,469,531
0.00214,467,467,533
0.00216,466,466,534
0.00218,463,463,537
0.0022,460,460,540
0.00222,459,459,541
0.00224,458,458,542
0.00226,455,455,545
0.00228,453,453,547
0.0023,451,451,549
0.00232,451,451,549
0.00234,447,447,553
0.00236,447,447,553
0.00238,445,445,555
0.0024,446,446,554
0.00242,443,443,557
0.00244,444,444,556
0.00246,443,443,557
0.00248,437,437,563
0.0025,437,437,563
0.00252,434,434,566
0.00254,433,433,567
0.00256,428,428,572
0.00258,424,424,576
0.0026,422,422,578
0.00262,421,421,579
0.00264,417,417,583
0.00266,416,416,584
0.00268,417,417,583
0.0027,417,417,583
0.00272,417,417,583
0.00274,415,415,585
0.00276,415,415,585
0.00278,413,413,587
0.0028,411,411,589
0.00282,411,411,589
0.00284,408,408,592
0.00286,405,405,595
0.00288,406,406,594
0.0029,405,405,595
0.00292,404,404,596
0.00294,405,405,595
0.00296,402,402,598
0.00298,401,401,599
0.003,397,397,603
0.00302,395,395,605
0.00304,393,393,607
0.00306,393,393,607
0.00308,394,394,606
0.0031,391,391,609
0.00312,385,385,615
0.00314,384,384,616
0.00316,383,383,617
0.00318,383,383,617
0.0032,382,382,618
0.00322,383,383,617
0.00324,383,383,617
0.00326,384,384,616
0.00328,384,384,616
0.0033,383,383,617
0.00332,384,384,616
0.00334,382,382,618
0.00336,382,382,618
0.00338,381,381,619
0.0034,381,381,619
0.00342,381,381,619
0.00344,381,381,619
0.00346,381,381,619
0.00348,379,379,621
0.0035,379,379,621
0.00352,380,380,620
0.00354,379,379,621
0.00356,377,377,623
0.00358,373,373,627
0.0036,372,372,628
0.00362,372,372,628
0.00364,372,372,628
0.00366,368,368,632
0.00368,366,366,634
0.0037,363,363,637
0.00372,364,364,636
0.00374,362,362,638
0.00376,361,361,639
0.00378,360,360,640
0.0038,358,358,642
0.00382,359,359,641
0.00384,357,357,643
0.00386,356,356,644
0.00388,356,356,644
0.0039,353,353,647
0.00392,353,353,647
0.00394,352,352,648
0.00396,350,350,650
0.00398,352,352,648
0.004,352,352,648
0.00402,350,350,650
0.00404,349,349,651
0.00406,348,348,652
0.00408,348,348,652
0.0041,345,345,655
0.00412,345,345,655
0.00414,342,342,658
0.00416,341,341,659
0.00418,341,341,659
0.0042,341,341,659
0.00422,341,341,659
0.00424,340,340,660
0.00426,341,341,659
0.00428,341,341,659
0.0043,340,340,660
0.00432,339,339,661
0.00434,339,339,661
0.00436,340,340,660
0.00438,341,341,659
0.0044,342,342,658
0.00442,343,343,657
0.00444,343,343,657
0.00446,343,343,657
0.00448,342,342,658
0.0045,342,342,658
0.00452,340,340,660
0.00454,339,339,661
0.00456,338,338,662
0.00458,338,338,662
0.0046,336,336,664
0.00462,334,334,666
0.00464,335,335,665
0.00466,337,337,663
0.00468,336,336,664
0.0047,335,335,665
0.00472,336,336,664
0.00474,336,336,664
0.00476,336,336,664
0.00478,336,336,664
