Time (s): 0
50	A: 1. 
50	B: 1. 
50	C: 1. 
Time (s): 0.0001
50	A: 1. 
50	B: 1. 
50	C: 1. 
Time (s): 0.0002
50	A: 1. 
50	B: 1. 
50	C: 1. 
Time (s): 0.0003
50	A: 1. 
50	B: 1. 
50	C: 1. 
Time (s): 0.0004
50	A: 1. 
50	B: 1. 
50	C: 1. 
Time (s): 0.0005
50	A: 1. 
50	B: 1. 
50	C: 1. 
Time (s): 0.0006
50	A: 1. 
50	B: 1. 
50	C: 1. 
Time (s): 0.0007
50	A: 1. 
50	B: 1. 
50	C: 1. 
Time (s): 0.0008
50	A: 1. 
50	B: 1. 
50	C: 1. 
Time (s): 0.0009
50	A: 1. 
50	B: 1. 
50	C: 1. 
Time (s): 0.001
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0011
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0012
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0013
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0014
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0015
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0016
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0017
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0018
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0019
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.002
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0021
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0022
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0023
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0024
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0025
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0026
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0027
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0028
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0029
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.003
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0031
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0032
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0033
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0034
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0035
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0036
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0037
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0038
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0039
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.004
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0041
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0042
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0043
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0044
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0045
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0046
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0047
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0048
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.0049
50	A: 1. 
49	B: 1. 
1	B: 1. C: 1. 
49	C: 1. 
Time (s): 0.005
49	A: 1. 
1	A: 1. C: 1. 
49	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0051
49	A: 1. 
1	A: 1. C: 1. 
49	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0052
49	A: 1. 
1	A: 1. C: 1. 
49	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0053
49	A: 1. 
1	A: 1. C: 1. 
49	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0054
49	A: 1. 
1	A: 1. C: 1. 
49	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0055
49	A: 1. 
1	A: 1. C: 1. 
49	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0056
49	A: 1. 
1	A: 1. C: 1. 
49	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0057
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0058
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0059
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.006
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0061
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0062
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0063
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0064
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0065
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0066
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0067
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0068
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0069
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.007
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0071
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0072
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0073
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0074
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0075
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
47	B: 1. 
1	B: 1. C: 1. 
48	C: 1. 
Time (s): 0.0076
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
46	B: 1. 
2	B: 1. C: 1. 
47	C: 1. 
Time (s): 0.0077
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
45	B: 1. 
3	B: 1. C: 1. 
46	C: 1. 
Time (s): 0.0078
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
45	B: 1. 
3	B: 1. C: 1. 
46	C: 1. 
Time (s): 0.0079
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
45	B: 1. 
3	B: 1. C: 1. 
46	C: 1. 
Time (s): 0.008
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
45	B: 1. 
3	B: 1. C: 1. 
46	C: 1. 
Time (s): 0.0081
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
45	B: 1. 
3	B: 1. C: 1. 
46	C: 1. 
Time (s): 0.0082
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
45	B: 1. 
3	B: 1. C: 1. 
46	C: 1. 
Time (s): 0.0083
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
45	B: 1. 
3	B: 1. C: 1. 
46	C: 1. 
Time (s): 0.0084
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
45	B: 1. 
3	B: 1. C: 1. 
46	C: 1. 
Time (s): 0.0085
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
45	B: 1. 
3	B: 1. C: 1. 
46	C: 1. 
Time (s): 0.0086
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
45	B: 1. 
3	B: 1. C: 1. 
46	C: 1. 
Time (s): 0.0087
47	A: 1. 
2	A: 1. B: 1. 
1	A: 1. C: 1. 
45	B: 1. 
