	time(s)	A(t)
	0		1000
   1.0000000e-08   9.9999400e+02
   1.1226678e-08   9.9999327e+02
   1.2603829e-08   9.9999244e+02
   1.4149913e-08   9.9999152e+02
   1.5885651e-08   9.9999048e+02
   1.7834309e-08   9.9998931e+02
   2.0022004e-08   9.9998800e+02
   2.2478058e-08   9.9998652e+02
   2.5235392e-08   9.9998487e+02
   2.8330961e-08   9.9998301e+02
   3.1806257e-08   9.9998093e+02
   3.5707860e-08   9.9997859e+02
   4.0088063e-08   9.9997596e+02
   4.5005577e-08   9.9997302e+02
   5.0526311e-08   9.9996971e+02
   5.6724261e-08   9.9996599e+02
   6.3682499e-08   9.9996182e+02
   7.1494290e-08   9.9995713e+02
   8.0264335e-08   9.9995188e+02
   9.0110183e-08   9.9994597e+02
   1.0116380e-07   9.9993935e+02
   1.1357334e-07   9.9993191e+02
   1.2750512e-07   9.9992355e+02
   1.4314589e-07   9.9991418e+02
   1.6070528e-07   9.9990365e+02
   1.8041864e-07   9.9989183e+02
   2.0255019e-07   9.9987857e+02
   2.2739658e-07   9.9986367e+02
   2.5529081e-07   9.9984695e+02
   2.8660676e-07   9.9982818e+02
   3.2176418e-07   9.9980711e+02
   3.6123427e-07   9.9978345e+02
   4.0554607e-07   9.9975690e+02
   4.5529351e-07   9.9972709e+02
   5.1114335e-07   9.9969362e+02
   5.7384416e-07   9.9965605e+02
   6.4423635e-07   9.9961387e+02
   7.2326339e-07   9.9956653e+02
   8.1198450e-07   9.9951338e+02
   9.1158883e-07   9.9945373e+02
   1.0234114e-06   9.9938676e+02
   1.1489510e-06   9.9931159e+02
   1.2898903e-06   9.9922721e+02
   1.4481182e-06   9.9913250e+02
   1.6257557e-06   9.9902619e+02
   1.8251835e-06   9.9890687e+02
   2.0490747e-06   9.9877295e+02
   2.3004301e-06   9.9862265e+02
   2.5826188e-06   9.9845397e+02
   2.8994229e-06   9.9826466e+02
   3.2550886e-06   9.9805222e+02
   3.6543831e-06   9.9781384e+02
   4.1026581e-06   9.9754635e+02
   4.6059220e-06   9.9724623e+02
   5.1709202e-06   9.9690952e+02
   5.8052255e-06   9.9653179e+02
   6.5173396e-06   9.9610808e+02
   7.3168071e-06   9.9563284e+02
   8.2143436e-06   9.9509986e+02
   9.2219788e-06   9.9450222e+02
   1.0353218e-05   9.9383215e+02
   1.1623225e-05   9.9308101e+02
   1.3049020e-05   9.9223913e+02
   1.4649714e-05   9.9129576e+02
   1.6446762e-05   9.9023890e+02
   1.8464249e-05   9.8905518e+02
   2.0729218e-05   9.8772978e+02
   2.3272025e-05   9.8624620e+02
   2.6126752e-05   9.8458616e+02
   2.9331663e-05   9.8272942e+02
   3.2929713e-05   9.8065362e+02
   3.6969127e-05   9.7833406e+02
   4.1504048e-05   9.7574359e+02
   4.6595257e-05   9.7285238e+02
   5.2310993e-05   9.6962777e+02
   5.8727866e-05   9.6603414e+02
   6.5931883e-05   9.6203275e+02
   7.4019600e-05   9.5758165e+02
   8.3099419e-05   9.5263568e+02
   9.3293040e-05   9.4714641e+02
   1.0473709e-04   9.4106232e+02
   1.1758496e-04   9.3432894e+02
   1.3200884e-04   9.2688923e+02
   1.4820207e-04   9.1868405e+02
   1.6638169e-04   9.0965280e+02
   1.8679136e-04   8.9973433e+02
   2.0970464e-04   8.8886803e+02
   2.3542864e-04   8.7699517e+02
   2.6430815e-04   8.6406056e+02
   2.9673024e-04   8.5001438e+02
   3.3312948e-04   8.3481441e+02
   3.7399373e-04   8.1842828e+02
   4.1987071e-04   8.0083609e+02
   4.7137531e-04   7.8203297e+02
   5.2919787e-04   7.6203162e+02
   5.9411340e-04   7.4086478e+02
   6.6699197e-04   7.1858726e+02
   7.4881039e-04   6.9527755e+02
   8.4066529e-04   6.7103876e+02
   9.4378783e-04   6.4599871e+02
   1.0595602e-03   6.2030922e+02
   1.1895341e-03   5.9414425e+02
   1.3354516e-03   5.6769720e+02
   1.4992684e-03   5.4117719e+02
   1.6831804e-03   5.1480465e+02
   1.8896523e-03   4.8880620e+02
   2.1214518e-03   4.6340930e+02
   2.3816856e-03   4.3883667e+02
   2.6738416e-03   4.1530083e+02
   3.0018358e-03   3.9299901e+02
   3.3700643e-03   3.7210831e+02
   3.7834626e-03   3.5278137e+02
   4.2475716e-03   3.3514245e+02
   4.7686117e-03   3.1928383e+02
   5.3535667e-03   3.0526254e+02
   6.0102768e-03   2.9309740e+02
   6.7475441e-03   2.8276656e+02
   7.5752503e-03   2.7420598e+02
   8.5044893e-03   2.6730946e+02
   9.5477161e-03   2.6193104e+02
   1.0718913e-02   2.5789063e+02
   1.2033778e-02   2.5498336e+02
   1.3509935e-02   2.5299239e+02
   1.5167169e-02   2.5170391e+02
   1.7027692e-02   2.5092210e+02
   1.9116441e-02   2.5048117e+02
   2.1461412e-02   2.5025221e+02
   2.4094036e-02   2.5014389e+02
   2.7049597e-02   2.5009773e+02
   3.0367711e-02   2.5008025e+02
   3.4092851e-02   2.5007444e+02
   3.8274945e-02   2.5007277e+02
   4.2970047e-02   2.5007237e+02
   4.8241087e-02   2.5007229e+02
   5.4158714e-02   2.5007228e+02
   6.0802243e-02   2.5007227e+02
   6.8260718e-02   2.5007227e+02
   7.6634109e-02   2.5007227e+02
   
