	time(s)		A(t)
	0		800
   1.0000000e-08   7.9993601e+02
   1.1226678e-08   7.9992816e+02
   1.2603829e-08   7.9991934e+02
   1.4149913e-08   7.9990945e+02
   1.5885651e-08   7.9989834e+02
   1.7834309e-08   7.9988588e+02
   2.0022004e-08   7.9987188e+02
   2.2478058e-08   7.9985617e+02
   2.5235392e-08   7.9983853e+02
   2.8330961e-08   7.9981872e+02
   3.1806257e-08   7.9979649e+02
   3.5707860e-08   7.9977154e+02
   4.0088063e-08   7.9974352e+02
   4.5005577e-08   7.9971207e+02
   5.0526311e-08   7.9967676e+02
   5.6724261e-08   7.9963713e+02
   6.3682499e-08   7.9959264e+02
   7.1494290e-08   7.9954270e+02
   8.0264335e-08   7.9948664e+02
   9.0110183e-08   7.9942371e+02
   1.0116380e-07   7.9935308e+02
   1.1357334e-07   7.9927379e+02
   1.2750512e-07   7.9918480e+02
   1.4314589e-07   7.9908492e+02
   1.6070528e-07   7.9897281e+02
   1.8041864e-07   7.9884699e+02
   2.0255019e-07   7.9870578e+02
   2.2739658e-07   7.9854731e+02
   2.5529081e-07   7.9836948e+02
   2.8660676e-07   7.9816993e+02
   3.2176418e-07   7.9794601e+02
   3.6123427e-07   7.9769478e+02
   4.0554607e-07   7.9741292e+02
   4.5529351e-07   7.9709673e+02
   5.1114335e-07   7.9674205e+02
   5.7384416e-07   7.9634423e+02
   6.4423635e-07   7.9589809e+02
   7.2326339e-07   7.9539783e+02
   8.1198450e-07   7.9483694e+02
   9.1158883e-07   7.9420820e+02
   1.0234114e-06   7.9350352e+02
   1.1489510e-06   7.9271390e+02
   1.2898903e-06   7.9182928e+02
   1.4481182e-06   7.9083851e+02
   1.6257557e-06   7.8972917e+02
   1.8251835e-06   7.8848746e+02
   2.0490747e-06   7.8709809e+02
   2.3004301e-06   7.8554413e+02
   2.5826188e-06   7.8380687e+02
   2.8994229e-06   7.8186566e+02
   3.2550886e-06   7.7969780e+02
   3.6543831e-06   7.7727833e+02
   4.1026581e-06   7.7457997e+02
   4.6059220e-06   7.7157292e+02
   5.1709202e-06   7.6822479e+02
   5.8052255e-06   7.6450053e+02
   6.5173396e-06   7.6036237e+02
   7.3168071e-06   7.5576983e+02
   8.2143436e-06   7.5067984e+02
   9.2219788e-06   7.4504684e+02
   1.0353218e-05   7.3882313e+02
   1.1623225e-05   7.3195919e+02
   1.3049020e-05   7.2440426e+02
   1.4649714e-05   7.1610702e+02
   1.6446762e-05   7.0701653e+02
   1.8464249e-05   6.9708324e+02
   2.0729218e-05   6.8626035e+02
   2.3272025e-05   6.7450526e+02
   2.6126752e-05   6.6178131e+02
   2.9331663e-05   6.4805956e+02
   3.2929713e-05   6.3332078e+02
   3.6969127e-05   6.1755744e+02
   4.1504048e-05   6.0077559e+02
   4.6595257e-05   5.8299666e+02
   5.2310993e-05   5.6425889e+02
   5.8727866e-05   5.4461837e+02
   6.5931883e-05   5.2414949e+02
   7.4019600e-05   5.0294482e+02
   8.3099419e-05   4.8111409e+02
