	time (s)     A(t) 		SEM 10 traj
   0.0000000e+00   1.0000000e+03   0.0000000e+00
   2.0000000e-05   9.8720000e+02   1.0934146e+00
   4.0000000e-05   9.7450000e+02   1.7904065e+00
   6.0000000e-05   9.6290000e+02   2.3591430e+00
   8.0000000e-05   9.5240000e+02   2.3437861e+00
   1.0000000e-04   9.4090000e+02   2.7384099e+00
   1.2000000e-04   9.2900000e+02   2.5905812e+00
   1.4000000e-04   9.1760000e+02   2.3860707e+00
   1.6000000e-04   9.0550000e+02   2.1768989e+00
   1.8000000e-04   8.9590000e+02   2.3918844e+00
   2.0000000e-04   8.8660000e+02   2.5438379e+00
   2.2000000e-04   8.7790000e+02   2.4333333e+00
   2.4000000e-04   8.6830000e+02   3.0259985e+00
   2.6000000e-04   8.5980000e+02   2.6195844e+00
   2.8000000e-04   8.5170000e+02   2.5822041e+00
   3.0000000e-04   8.4290000e+02   2.3259407e+00
   3.2000000e-04   8.3390000e+02   2.8807792e+00
   3.4000000e-04   8.2530000e+02   3.3864108e+00
   3.6000000e-04   8.1810000e+02   2.8846336e+00
   3.8000000e-04   8.1020000e+02   3.1439536e+00
   4.0000000e-04   8.0220000e+02   3.1119840e+00
   4.2000000e-04   7.9530000e+02   3.3732609e+00
   4.4000000e-04   7.9000000e+02   3.3598942e+00
   4.6000000e-04   7.8230000e+02   3.7209616e+00
   4.8000000e-04   7.7450000e+02   3.9951359e+00
   5.0000000e-04   7.6780000e+02   4.2105687e+00
   5.2000000e-04   7.6080000e+02   4.3071001e+00
   5.4000000e-04   7.5400000e+02   4.2687495e+00
   5.6000000e-04   7.4690000e+02   4.2673177e+00
   5.8000000e-04   7.3810000e+02   4.2699206e+00
   6.0000000e-04   7.3170000e+02   3.8673850e+00
   6.2000000e-04   7.2670000e+02   3.4060404e+00
   6.4000000e-04   7.1980000e+02   3.2788887e+00
   6.6000000e-04   7.1440000e+02   3.6368485e+00
   6.8000000e-04   7.0780000e+02   3.4441577e+00
   7.0000000e-04   7.0270000e+02   3.3368315e+00
   7.2000000e-04   6.9700000e+02   3.5962944e+00
   7.4000000e-04   6.9130000e+02   3.1589379e+00
   7.6000000e-04   6.8620000e+02   3.0615900e+00
   7.8000000e-04   6.7920000e+02   3.0324174e+00
   8.0000000e-04   6.7450000e+02   3.2050308e+00
   8.2000000e-04   6.6910000e+02   3.1143039e+00
   8.4000000e-04   6.6480000e+02   3.4953938e+00
   8.6000000e-04   6.5950000e+02   3.5316034e+00
   8.8000000e-04   6.5550000e+02   3.1420093e+00
   9.0000000e-04   6.5090000e+02   3.2777024e+00
   9.2000000e-04   6.4580000e+02   3.0140412e+00
   9.4000000e-04   6.4250000e+02   3.3739196e+00
   9.6000000e-04   6.3780000e+02   3.0904872e+00
   9.8000000e-04   6.3360000e+02   2.6339662e+00
   1.0000000e-03   6.3050000e+02   2.7818859e+00
   1.0200000e-03   6.2630000e+02   2.8325489e+00
   1.0400000e-03   6.2240000e+02   2.9747082e+00
   1.0600000e-03   6.1880000e+02   2.9806785e+00
   1.0800000e-03   6.1520000e+02   2.9806785e+00
   1.1000000e-03   6.1210000e+02   3.1071602e+00
   1.1200000e-03   6.0810000e+02   3.0603195e+00
   1.1400000e-03   6.0400000e+02   3.0623158e+00
   1.1600000e-03   5.9960000e+02   3.3605555e+00
   1.1800000e-03   5.9720000e+02   3.3724373e+00
   1.2000000e-03   5.9320000e+02   3.5080859e+00
   1.2200000e-03   5.8950000e+02   3.9249912e+00
   1.2400000e-03   5.8600000e+02   3.5559028e+00
   1.2600000e-03   5.8230000e+02   3.8036532e+00
   1.2800000e-03   5.7920000e+02   3.9265478e+00
   1.3000000e-03   5.7680000e+02   3.9009970e+00
   1.3200000e-03   5.7270000e+02   3.5278259e+00
   1.3400000e-03   5.6950000e+02   3.2463655e+00
   1.3600000e-03   5.6590000e+02   3.2709156e+00
   1.3800000e-03   5.6250000e+02   3.5598065e+00
   1.4000000e-03   5.6020000e+02   3.2584932e+00
   1.4200000e-03   5.5720000e+02   3.3426536e+00
   1.4400000e-03   5.5360000e+02   3.5907288e+00
   1.4600000e-03   5.4910000e+02   3.7784477e+00
   1.4800000e-03   5.4570000e+02   3.9215926e+00
   1.5000000e-03   5.4240000e+02   3.7777124e+00
   1.5200000e-03   5.3870000e+02   4.0798965e+00
   1.5400000e-03   5.3590000e+02   4.2359572e+00
   1.5600000e-03   5.3230000e+02   4.3513727e+00
   1.5800000e-03   5.2880000e+02   4.6062759e+00
   1.6000000e-03   5.2570000e+02   4.8626696e+00
   1.6200000e-03   5.2330000e+02   4.6117001e+00
   1.6400000e-03   5.2070000e+02   4.4648006e+00
   1.6600000e-03   5.1910000e+02   4.3955786e+00
   1.6800000e-03   5.1700000e+02   4.3563491e+00
   1.7000000e-03   5.1410000e+02   4.4207842e+00
   1.7200000e-03   5.1060000e+02   4.1020320e+00
   1.7400000e-03   5.0810000e+02   4.0095719e+00
   1.7600000e-03   5.0610000e+02   4.1698654e+00
   1.7800000e-03   5.0440000e+02   4.3492017e+00
   1.8000000e-03   5.0080000e+02   4.2421169e+00
