 ITER: TIME (us) 	MONO:A	DIMERS W:A	MONO:Phos	DIMERS W:Phos	
0	0	0	0	1	0	
2	1	3	0	1	0	
4	2	4	0	1	0	
6	3	8	0	1	0	
8	4	15	0	1	0	
10	5	24	0	1	0	
12	6	28	0	1	0	
14	7	34	0	1	0	
16	8	38	0	1	0	
18	9	42	0	1	0	
20	10	48	0	1	0	
22	11	52	0	1	0	
24	12	55	0	1	0	
26	13	61	0	1	0	
28	14	65	0	1	0	
30	15	71	0	1	0	
32	16	75	0	1	0	
34	17	82	0	1	0	
36	18	89	0	1	0	
38	19	99	0	1	0	
40	20	106	0	1	0	
42	21	113	0	1	0	
44	22	119	0	1	0	
46	23	121	0	1	0	
48	24	129	0	1	0	
50	25	138	0	1	0	
52	26	145	0	1	0	
54	27	150	0	1	0	
56	28	155	0	1	0	
58	29	162	0	1	0	
60	30	167	0	1	0	
62	31	176	0	1	0	
64	32	180	0	1	0	
66	33	184	0	1	0	
68	34	188	0	1	0	
70	35	198	0	1	0	
72	36	201	0	1	0	
74	37	202	0	1	0	
76	38	210	0	1	0	
78	39	217	0	1	0	
80	40	225	0	1	0	
82	41	232	0	1	0	
84	42	238	0	1	0	
86	43	243	0	1	0	
88	44	244	0	1	0	
90	45	252	0	1	0	
92	46	257	0	1	0	
94	47	265	0	1	0	
96	48	270	0	1	0	
98	49	284	0	1	0	
100	50	291	0	1	0	
102	51	296	0	1	0	
104	52	307	0	1	0	
106	53	315	0	1	0	
108	54	318	0	1	0	
110	55	323	0	1	0	
112	56	332	0	1	0	
114	57	335	0	1	0	
116	58	340	0	1	0	
118	59	347	0	1	0	
120	60	356	0	1	0	
122	61	363	0	1	0	
124	62	367	0	1	0	
126	63	371	0	1	0	
128	64	378	0	1	0	
130	65	387	0	1	0	
132	66	391	0	1	0	
134	67	400	0	1	0	
136	68	404	0	1	0	
138	69	411	0	1	0	
140	70	414	0	1	0	
142	71	417	0	1	0	
144	72	422	0	1	0	
146	73	426	0	1	0	
148	74	434	0	1	0	
150	75	441	0	1	0	
152	76	445	0	1	0	
154	77	450	0	1	0	
156	78	451	0	1	0	
158	79	458	0	1	0	
160	80	463	0	1	0	
162	81	470	0	1	0	
164	82	476	0	1	0	
166	83	481	0	1	0	
168	84	488	0	1	0	
170	85	490	0	1	0	
172	86	492	0	1	0	
174	87	496	0	1	0	
176	88	501	0	1	0	
178	89	504	0	1	0	
180	90	510	0	1	0	
182	91	517	0	1	0	
184	92	525	0	1	0	
186	93	530	0	1	0	
188	94	537	0	1	0	
190	95	540	0	1	0	
192	96	544	0	1	0	
194	97	554	0	1	0	
196	98	559	0	1	0	
198	99	560	0	1	0	
200	100	564	0	1	0	
202	101	567	0	1	0	
204	102	570	0	1	0	
206	103	576	0	1	0	
208	104	581	0	1	0	
210	105	586	0	1	0	
212	106	590	0	1	0	
214	107	594	0	1	0	
216	108	597	0	1	0	
218	109	601	0	1	0	
220	110	607	0	1	0	
222	111	611	0	1	0	
224	112	617	0	1	0	
226	113	617	0	1	0	
228	114	626	0	1	0	
230	115	633	0	1	0	
232	116	638	0	1	0	
234	117	643	0	1	0	
236	118	651	0	1	0	
238	119	657	0	1	0	
240	120	664	0	1	0	
242	121	670	0	1	0	
244	122	672	0	1	0	
246	123	676	0	1	0	
248	124	685	0	1	0	
250	125	696	0	1	0	
252	126	699	0	1	0	
254	127	701	0	1	0	
256	128	707	0	1	0	
258	129	717	0	1	0	
260	130	726	0	1	0	
262	131	728	0	1	0	
264	132	736	0	1	0	
266	133	742	0	1	0	
268	134	748	0	1	0	
270	135	754	0	1	0	
272	136	764	0	1	0	
274	137	767	0	1	0	
276	138	775	0	1	0	
278	139	778	0	1	0	
280	140	784	0	1	0	
282	141	791	0	1	0	
284	142	795	0	1	0	
286	143	799	0	1	0	
288	144	803	0	1	0	
290	145	806	0	1	0	
292	146	812	0	1	0	
294	147	820	0	1	0	
296	148	820	0	1	0	
298	149	826	0	1	0	
300	150	834	0	1	0	
302	151	837	0	1	0	
304	152	844	0	1	0	
306	153	846	0	1	0	
308	154	849	0	1	0	
310	155	855	0	1	0	
312	156	857	0	1	0	
314	157	860	0	1	0	
316	158	864	0	1	0	
318	159	868	0	1	0	
320	160	873	0	1	0	
322	161	877	0	1	0	
324	162	882	0	1	0	
326	163	886	0	1	0	
328	164	887	0	1	0	
330	165	893	0	1	0	
332	166	898	0	1	0	
334	167	906	0	1	0	
336	168	910	0	1	0	
338	169	915	0	1	0	
340	170	921	0	1	0	
342	171	924	0	1	0	
344	172	930	0	1	0	
346	173	936	0	1	0	
348	174	939	0	1	0	
350	175	942	0	1	0	
352	176	946	0	1	0	
354	177	950	0	1	0	
356	178	955	0	1	0	
358	179	963	0	1	0	
360	180	966	0	1	0	
362	181	973	0	1	0	
364	182	978	0	1	0	
366	183	983	0	1	0	
368	184	988	0	1	0	
370	185	991	0	1	0	
372	186	999	0	1	0	
374	187	1007	0	1	0	
376	188	1015	0	1	0	
378	189	1023	0	1	0	
380	190	1025	0	1	0	
382	191	1029	0	1	0	
384	192	1032	0	1	0	
386	193	1035	0	1	0	
388	194	1037	0	1	0	
390	195	1044	0	1	0	
392	196	1050	0	1	0	
394	197	1053	0	1	0	
