	time (us)      MABM               AB           AM              BM               A              B                 ABM           M           
   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+02   1.0000000e+02   0.0000000e+00   3.7550000e+03
   1.0000000e+02   0.0000000e+00   0.0000000e+00   7.5000000e-01   5.9375000e-01   9.9250000e+01   9.9406250e+01   0.0000000e+00   3.7536562e+03
   2.0000000e+02   0.0000000e+00   0.0000000e+00   1.3281250e+00   1.2812500e+00   9.8671875e+01   9.8718750e+01   0.0000000e+00   3.7523906e+03
   3.0000000e+02   0.0000000e+00   0.0000000e+00   1.8906250e+00   1.8437500e+00   9.8109375e+01   9.8156250e+01   0.0000000e+00   3.7512656e+03
   4.0000000e+02   0.0000000e+00   0.0000000e+00   2.6093750e+00   2.3125000e+00   9.7390625e+01   9.7687500e+01   0.0000000e+00   3.7500781e+03
   5.0000000e+02   0.0000000e+00   0.0000000e+00   3.0312500e+00   2.8437500e+00   9.6968750e+01   9.7156250e+01   0.0000000e+00   3.7491250e+03
   6.0000000e+02   0.0000000e+00   0.0000000e+00   3.6093750e+00   3.3750000e+00   9.6390625e+01   9.6625000e+01   0.0000000e+00   3.7480156e+03
   7.0000000e+02   0.0000000e+00   1.5625000e-02   4.0468750e+00   4.0781250e+00   9.5937500e+01   9.5906250e+01   0.0000000e+00   3.7468750e+03
   8.0000000e+02   0.0000000e+00   1.5625000e-02   4.4375000e+00   4.7031250e+00   9.5546875e+01   9.5281250e+01   0.0000000e+00   3.7458594e+03
   9.0000000e+02   0.0000000e+00   1.5625000e-02   5.0312500e+00   5.3906250e+00   9.4953125e+01   9.4593750e+01   0.0000000e+00   3.7445781e+03
   1.0000000e+03   0.0000000e+00   1.5625000e-02   5.6406250e+00   5.8750000e+00   9.4343750e+01   9.4109375e+01   0.0000000e+00   3.7434844e+03
   1.1000000e+03   0.0000000e+00   1.5625000e-02   6.2031250e+00   6.5000000e+00   9.3781250e+01   9.3484375e+01   0.0000000e+00   3.7422969e+03
   1.2000000e+03   0.0000000e+00   1.5625000e-02   6.6875000e+00   7.0468750e+00   9.3296875e+01   9.2937500e+01   0.0000000e+00   3.7412656e+03
