	time (s)	A		B		M		AM		BM		MAB		ABM		AB		MABM
   1.0000000e-04   1.0000231e+02   1.0000231e+02   3.7550869e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   1.0233402e-04   9.9984775e+01   9.9984775e+01   3.7550518e+03   1.7527264e-02   1.7527264e-02   1.9906937e-09   1.9906937e-09   1.1666271e-05   1.4264659e-10
   1.0472252e-04   9.9966830e+01   9.9966830e+01   3.7550160e+03   3.5460224e-02   3.5460224e-02   8.1722163e-09   8.1722163e-09   2.3596331e-05  -7.4410775e-11
   1.0716676e-04   9.9948470e+01   9.9948470e+01   3.7549793e+03   5.3808186e-02   5.3808186e-02   1.7942284e-08   1.7942284e-08   3.5795957e-05   2.8375232e-09
   1.0966806e-04   9.9929685e+01   9.9929685e+01   3.7549417e+03   7.2580669e-02   7.2580669e-02   3.1547309e-08   3.1547309e-08   4.8271021e-05   9.0994864e-09
   1.1222774e-04   9.9910465e+01   9.9910465e+01   3.7549033e+03   9.1787405e-02   9.1787405e-02   4.9247139e-08   4.9247139e-08   6.1027512e-05   1.8944665e-08
   1.1484715e-04   9.9890801e+01   9.9890801e+01   3.7548640e+03   1.1143834e-01   1.1143834e-01   7.2812477e-08   7.2812477e-08   7.4071441e-05   1.9524505e-08
   1.1752771e-04   9.9870682e+01   9.9870682e+01   3.7548238e+03   1.3154366e-01   1.3154366e-01   1.0260456e-07   1.0260456e-07   8.7408989e-05   2.9298636e-09
   1.2027083e-04   9.9850099e+01   9.9850099e+01   3.7547826e+03   1.5211378e-01   1.5211378e-01   1.3476293e-07   1.3476293e-07   1.0104675e-04   1.3606885e-09
   1.2307798e-04   9.9829039e+01   9.9829039e+01   3.7547406e+03   1.7315932e-01   1.7315932e-01   1.6942175e-07   1.6942175e-07   1.1499121e-04   1.5895549e-08
   1.2595065e-04   9.9807493e+01   9.9807493e+01   3.7546975e+03   1.9469117e-01   1.9469117e-01   2.0672201e-07   2.0672201e-07   1.2924897e-04   4.7672564e-08
   1.2889036e-04   9.9785449e+01   9.9785449e+01   3.7546534e+03   2.1672044e-01   2.1672044e-01   2.4681190e-07   2.4681190e-07   1.4382678e-04   9.7892410e-08
   1.3189869e-04   9.9762896e+01   9.9762896e+01   3.7546084e+03   2.3925851e-01   2.3925851e-01   2.8984715e-07   2.8984715e-07   1.5873149e-04   1.6782149e-07
   1.3497723e-04   9.9739822e+01   9.9739822e+01   3.7545622e+03   2.6231699e-01   2.6231699e-01   3.3599142e-07   3.3599142e-07   1.7397013e-04   2.5879523e-07
   1.3812763e-04   9.9716215e+01   9.9716215e+01   3.7545151e+03   2.8590776e-01   2.8590776e-01   3.8541667e-07   3.8541667e-07   1.8954981e-04   3.7222159e-07
   1.4135156e-04   9.9692064e+01   9.9692064e+01   3.7544668e+03   3.1004298e-01   3.1004298e-01   4.3830355e-07   4.3830355e-07   2.0547780e-04   5.0958466e-07
   1.4465073e-04   9.9667355e+01   9.9667355e+01   3.7544174e+03   3.3473505e-01   3.3473505e-01   4.9484186e-07   4.9484186e-07   2.2176152e-04   6.7244853e-07
   1.4802691e-04   9.9642077e+01   9.9642077e+01   3.7543669e+03   3.5999667e-01   3.5999667e-01   5.5523096e-07   5.5523096e-07   2.3840851e-04   8.6246126e-07
   1.5148189e-04   9.9616215e+01   9.9616215e+01   3.7543152e+03   3.8584081e-01   3.8584081e-01   6.1968028e-07   6.1968028e-07   2.5542645e-04   1.0813591e-06
   1.5501751e-04   9.9589757e+01   9.9589757e+01   3.7542623e+03   4.1228073e-01   4.1228073e-01   6.8840975e-07   6.8840975e-07   2.7282317e-04   1.3309709e-06
   1.5863565e-04   9.9562690e+01   9.9562690e+01   3.7542082e+03   4.3933000e-01   4.3933000e-01   7.6165038e-07   7.6165038e-07   2.9060664e-04   1.6132228e-06
   1.6233824e-04   9.9534999e+01   9.9534999e+01   3.7541529e+03   4.6700245e-01   4.6700245e-01   8.3964473e-07   8.3964473e-07   3.0878498e-04   1.9301428e-06
   1.6612725e-04   9.9506670e+01   9.9506670e+01   3.7540962e+03   4.9531226e-01   4.9531226e-01   9.2264752e-07   9.2264752e-07   3.2736646e-04   2.2838662e-06
   1.7000470e-04   9.9477689e+01   9.9477689e+01   3.7540383e+03   5.2427389e-01   5.2427389e-01   1.0109262e-06   1.0109262e-06   3.4635947e-04   2.6766407e-06
   1.7397264e-04   9.9448041e+01   9.9448041e+01   3.7539791e+03   5.5390198e-01   5.5390198e-01   1.1068568e-06   1.1068568e-06   3.6576797e-04   2.6244050e-06
   1.7803320e-04   9.9417712e+01   9.9417712e+01   3.7539184e+03   5.8421164e-01   5.8421164e-01   1.2091987e-06   1.2091987e-06   3.8559910e-04   1.9333540e-06
   1.8218853e-04   9.9386685e+01   9.9386685e+01   3.7538564e+03   6.1521857e-01   6.1521857e-01   1.3139091e-06   1.3139091e-06   4.0586878e-04   1.3379507e-06
   1.8644085e-04   9.9354945e+01   9.9354945e+01   3.7537930e+03   6.4693858e-01   6.4693858e-01   1.4210423e-06   1.4210423e-06   4.2658610e-04   8.4570615e-07
   1.9079242e-04   9.9322475e+01   9.9322475e+01   3.7537281e+03   6.7938780e-01   6.7938780e-01   1.5306538e-06   1.5306538e-06   4.4776030e-04   4.6455614e-07
   1.9524556e-04   9.9289258e+01   9.9289258e+01   3.7536617e+03   7.1258274e-01   7.1258274e-01   1.6428005e-06   1.6428005e-06   4.6940079e-04   2.0288267e-07
   1.9980263e-04   9.9255278e+01   9.9255278e+01   3.7535938e+03   7.4654024e-01   7.4654024e-01   1.7575405e-06   1.7575405e-06   4.9151713e-04   6.9536759e-08
   2.0446607e-04   9.9220518e+01   9.9220518e+01   3.7535243e+03   7.8127754e-01   7.8127754e-01   1.8749331e-06   1.8749331e-06   5.1411905e-04   7.3862323e-08
   2.0923835e-04   9.9184960e+01   9.9184960e+01   3.7534532e+03   8.1681222e-01   8.1681222e-01   1.9950390e-06   1.9950390e-06   5.3721643e-04   2.2572119e-07
   2.1412202e-04   9.9148586e+01   9.9148586e+01   3.7533805e+03   8.5316226e-01   8.5316226e-01   2.1179203e-06   2.1179203e-06   5.6081933e-04   5.3551932e-07
