 ITER: TIME (us) 	MONO:A	DIMERS W:A	
0	0	108	0	
500	50	108	0	
1000	100	108	0	
1500	150	108	0	
2000	200	108	0	
2500	250	108	0	
3000	300	108	0	
3500	350	108	0	
4000	400	108	0	
4500	450	108	0	
5000	500	108	0	
5500	550	108	0	
6000	600	108	0	
6500	650	108	0	
7000	700	108	0	
7500	750	108	0	
8000	800	108	0	
8500	850	108	0	
9000	900	108	0	
9500	950	108	0	
10000	1000	108	0	
10500	1050	108	0	
11000	1100	108	0	
11500	1150	108	0	
12000	1200	108	0	
12500	1250	108	0	
13000	1300	108	0	
13500	1350	108	0	
14000	1400	108	0	
14500	1450	108	0	
15000	1500	108	0	
15500	1550	108	0	
16000	1600	108	0	
16500	1650	108	0	
17000	1700	108	0	
17500	1750	108	0	
18000	1800	108	0	
18500	1850	108	0	
19000	1900	108	0	
19500	1950	108	0	
20000	2000	108	0	
20500	2050	108	0	
21000	2100	108	0	
21500	2150	108	0	
22000	2200	108	0	
22500	2250	108	0	
23000	2300	108	0	
23500	2350	108	0	
24000	2400	108	0	
24500	2450	108	0	
25000	2500	108	0	
25500	2550	108	0	
26000	2600	108	0	
26500	2650	108	0	
27000	2700	108	0	
27500	2750	108	0	
28000	2800	108	0	
28500	2850	108	0	
29000	2900	108	0	
29500	2950	108	0	
30000	3000	108	0	
30500	3050	108	0	
31000	3100	108	0	
31500	3150	108	0	
32000	3200	108	0	
32500	3250	108	0	
33000	3300	108	0	
33500	3350	108	0	
34000	3400	108	0	
34500	3450	108	0	
35000	3500	108	0	
35500	3550	108	0	
36000	3600	108	0	
36500	3650	108	0	
37000	3700	108	0	
37500	3750	108	0	
38000	3800	108	0	
38500	3850	108	0	
39000	3900	108	0	
39500	3950	108	0	
40000	4000	108	0	
40500	4050	108	0	
41000	4100	108	0	
41500	4150	108	0	
42000	4200	108	0	
42500	4250	108	0	
43000	4300	108	0	
43500	4350	108	0	
44000	4400	108	0	
44500	4450	108	0	
45000	4500	108	0	
45500	4550	108	0	
46000	4600	108	0	
46500	4650	108	0	
47000	4700	108	0	
47500	4750	108	0	
48000	4800	108	0	
48500	4850	108	0	
