	time (s)	A(t)		SEM for 10 traj
   0.0000000e+00   1.0800000e+02   0.0000000e+00
   5.0000000e-05   1.0790000e+02   1.0000000e-01
   1.0000000e-04   1.0780000e+02   1.3333333e-01
   1.5000000e-04   1.0760000e+02   1.6329932e-01
   2.0000000e-04   1.0730000e+02   2.1343747e-01
   2.5000000e-04   1.0720000e+02   2.4944383e-01
   3.0000000e-04   1.0710000e+02   2.7688746e-01
   3.5000000e-04   1.0700000e+02   2.5819889e-01
   4.0000000e-04   1.0680000e+02   2.4944383e-01
   4.5000000e-04   1.0670000e+02   2.6034166e-01
   5.0000000e-04   1.0660000e+02   3.0550505e-01
   5.5000000e-04   1.0640000e+02   3.3993463e-01
   6.0000000e-04   1.0600000e+02   3.9440532e-01
   6.5000000e-04   1.0590000e+02   4.8189441e-01
   7.0000000e-04   1.0590000e+02   4.8189441e-01
   7.5000000e-04   1.0580000e+02   4.8989795e-01
   8.0000000e-04   1.0580000e+02   4.8989795e-01
   8.5000000e-04   1.0580000e+02   4.8989795e-01
   9.0000000e-04   1.0570000e+02   5.7831172e-01
   9.5000000e-04   1.0550000e+02   6.0092521e-01
   1.0000000e-03   1.0540000e+02   5.8118653e-01
   1.0500000e-03   1.0530000e+02   5.5876849e-01
   1.1000000e-03   1.0520000e+02   5.5377492e-01
   1.1500000e-03   1.0510000e+02   5.4670732e-01
   1.2000000e-03   1.0480000e+02   5.1207638e-01
   1.2500000e-03   1.0450000e+02   5.2174919e-01
   1.3000000e-03   1.0450000e+02   5.2174919e-01
   1.3500000e-03   1.0440000e+02   4.9888765e-01
   1.4000000e-03   1.0440000e+02   4.9888765e-01
   1.4500000e-03   1.0420000e+02   5.3333333e-01
   1.5000000e-03   1.0420000e+02   5.3333333e-01
   1.5500000e-03   1.0420000e+02   5.3333333e-01
   1.6000000e-03   1.0420000e+02   5.3333333e-01
   1.6500000e-03   1.0420000e+02   5.3333333e-01
   1.7000000e-03   1.0400000e+02   5.3748385e-01
   1.7500000e-03   1.0380000e+02   5.3333333e-01
   1.8000000e-03   1.0380000e+02   5.3333333e-01
   1.8500000e-03   1.0360000e+02   5.4160256e-01
   1.9000000e-03   1.0330000e+02   6.5064071e-01
   1.9500000e-03   1.0330000e+02   6.5064071e-01
   2.0000000e-03   1.0290000e+02   6.4031242e-01
   2.0500000e-03   1.0290000e+02   6.4031242e-01
   2.1000000e-03   1.0270000e+02   6.6749948e-01
   2.1500000e-03   1.0240000e+02   6.6999171e-01
   2.2000000e-03   1.0220000e+02   6.9602043e-01
   2.2500000e-03   1.0210000e+02   6.9041051e-01
   2.3000000e-03   1.0200000e+02   6.9920590e-01
   2.3500000e-03   1.0190000e+02   6.9041051e-01
   2.4000000e-03   1.0180000e+02   6.9602043e-01
   2.4500000e-03   1.0170000e+02   7.0000000e-01
   2.5000000e-03   1.0170000e+02   7.0000000e-01
   2.5500000e-03   1.0140000e+02   7.3333333e-01
   2.6000000e-03   1.0140000e+02   7.3333333e-01
   2.6500000e-03   1.0130000e+02   7.4610098e-01
   2.7000000e-03   1.0130000e+02   7.4610098e-01
   2.7500000e-03   1.0130000e+02   7.4610098e-01
   2.8000000e-03   1.0130000e+02   7.4610098e-01
   2.8500000e-03   1.0130000e+02   7.4610098e-01
   2.9000000e-03   1.0130000e+02   7.4610098e-01
   2.9500000e-03   1.0130000e+02   7.4610098e-01
   3.0000000e-03   1.0120000e+02   8.0000000e-01
   3.0500000e-03   1.0110000e+02   7.9512403e-01
   3.1000000e-03   1.0100000e+02   7.7459667e-01
   3.1500000e-03   1.0100000e+02   7.7459667e-01
   3.2000000e-03   1.0070000e+02   8.4393259e-01
   3.2500000e-03   1.0070000e+02   8.4393259e-01
   3.3000000e-03   1.0060000e+02   8.4590517e-01
   3.3500000e-03   1.0060000e+02   8.4590517e-01
   3.4000000e-03   1.0070000e+02   8.4393259e-01
   3.4500000e-03   1.0060000e+02   8.3266640e-01
   3.5000000e-03   1.0060000e+02   8.3266640e-01
   3.5500000e-03   1.0060000e+02   8.3266640e-01
   3.6000000e-03   1.0060000e+02   8.3266640e-01
   3.6500000e-03   1.0040000e+02   8.3266640e-01
   3.7000000e-03   1.0040000e+02   8.3266640e-01
   3.7500000e-03   1.0010000e+02   8.4918261e-01
   3.8000000e-03   1.0000000e+02   8.5634884e-01
   3.8500000e-03   1.0000000e+02   8.5634884e-01
   3.9000000e-03   1.0010000e+02   9.0000000e-01
   3.9500000e-03   1.0010000e+02   9.0000000e-01
   4.0000000e-03   9.9900000e+01   9.7125349e-01
   4.0500000e-03   9.9700000e+01   9.8938814e-01
   4.1000000e-03   9.9700000e+01   9.8938814e-01
   4.1500000e-03   9.9600000e+01   9.4516313e-01
   4.2000000e-03   9.9500000e+01   8.8506120e-01
   4.2500000e-03   9.9200000e+01   8.7939373e-01
   4.3000000e-03   9.9100000e+01   8.6216781e-01
   4.3500000e-03   9.9100000e+01   8.6216781e-01
   4.4000000e-03   9.9000000e+01   8.1649658e-01
   4.4500000e-03   9.9000000e+01   8.1649658e-01
   4.5000000e-03   9.8900000e+01   8.2259751e-01
   4.5500000e-03   9.8900000e+01   8.2259751e-01
   4.6000000e-03   9.8900000e+01   8.2259751e-01
   4.6500000e-03   9.8500000e+01   7.4907350e-01
   4.7000000e-03   9.8400000e+01   7.7746025e-01
   4.7500000e-03   9.8400000e+01   7.7746025e-01
   4.8000000e-03   9.8300000e+01   8.1717671e-01
   4.8500000e-03   9.8300000e+01   8.1717671e-01
   4.9000000e-03   9.8300000e+01   8.1717671e-01
   4.9500000e-03   9.8200000e+01   8.1377037e-01
   5.0000000e-03   9.8200000e+01   8.1377037e-01
   5.0500000e-03   9.8000000e+01   8.1649658e-01
   5.1000000e-03   9.8000000e+01   8.1649658e-01
   5.1500000e-03   9.7800000e+01   8.2731158e-01
   5.2000000e-03   9.7700000e+01   8.6986589e-01
   5.2500000e-03   9.7400000e+01   9.0921211e-01
   5.3000000e-03   9.7200000e+01   1.0088497e+00
   5.3500000e-03   9.7000000e+01   1.0645813e+00
   5.4000000e-03   9.6800000e+01   1.1813363e+00
   5.4500000e-03   9.6700000e+01   1.1930353e+00
   5.5000000e-03   9.6600000e+01   1.1469767e+00
   5.5500000e-03   9.6500000e+01   1.1080513e+00
   5.6000000e-03   9.6500000e+01   1.1080513e+00
   5.6500000e-03   9.6300000e+01   1.1357817e+00
   5.7000000e-03   9.6300000e+01   1.1357817e+00
   5.7500000e-03   9.6300000e+01   1.1357817e+00
   5.8000000e-03   9.6100000e+01   1.1874342e+00
   5.8500000e-03   9.6000000e+01   1.1832160e+00
   5.9000000e-03   9.6000000e+01   1.1832160e+00
   5.9500000e-03   9.6000000e+01   1.1832160e+00
   6.0000000e-03   9.5900000e+01   1.1967549e+00
   6.0500000e-03   9.5900000e+01   1.1967549e+00
   6.1000000e-03   9.5800000e+01   1.1813363e+00
   6.1500000e-03   9.5800000e+01   1.1813363e+00
   6.2000000e-03   9.5700000e+01   1.1742610e+00
   6.2500000e-03   9.5700000e+01   1.1742610e+00
   6.3000000e-03   9.5600000e+01   1.1756795e+00
   6.3500000e-03   9.5400000e+01   1.1661904e+00
   6.4000000e-03   9.5300000e+01   1.1647603e+00
   6.4500000e-03   9.5100000e+01   1.1874342e+00
   6.5000000e-03   9.5100000e+01   1.1874342e+00
   6.5500000e-03   9.5100000e+01   1.1874342e+00
   6.6000000e-03   9.5100000e+01   1.1874342e+00
   6.6500000e-03   9.5100000e+01   1.1874342e+00
   6.7000000e-03   9.5000000e+01   1.2018504e+00
   6.7500000e-03   9.4900000e+01   1.1590226e+00
   6.8000000e-03   9.4900000e+01   1.1590226e+00
   6.8500000e-03   9.4800000e+01   1.1234866e+00
   6.9000000e-03   9.4500000e+01   1.0137938e+00
   6.9500000e-03   9.4500000e+01   1.0137938e+00
   7.0000000e-03   9.4400000e+01   9.6838927e-01
   7.0500000e-03   9.4300000e+01   9.4339811e-01
   7.1000000e-03   9.4200000e+01   9.5219046e-01
   7.1500000e-03   9.4100000e+01   9.7125349e-01
   7.2000000e-03   9.4200000e+01   9.1651514e-01
   7.2500000e-03   9.4100000e+01   9.7125349e-01
   7.3000000e-03   9.3800000e+01   9.9777530e-01
   7.3500000e-03   9.3700000e+01   9.5510325e-01
   7.4000000e-03   9.3500000e+01   1.0137938e+00
   7.4500000e-03   9.3500000e+01   1.0137938e+00
   7.5000000e-03   9.3500000e+01   1.0137938e+00
   7.5500000e-03   9.3500000e+01   1.0137938e+00
   7.6000000e-03   9.3300000e+01   1.0225241e+00
   7.6500000e-03   9.3300000e+01   1.0651030e+00
   7.7000000e-03   9.3200000e+01   1.0306417e+00
   7.7500000e-03   9.3100000e+01   1.0796090e+00
   7.8000000e-03   9.2900000e+01   1.0588253e+00
   7.8500000e-03   9.2800000e+01   1.0198039e+00
   7.9000000e-03   9.2500000e+01   1.0246951e+00
   7.9500000e-03   9.2400000e+01   1.0561986e+00
   8.0000000e-03   9.2300000e+01   1.0959521e+00
   8.0500000e-03   9.2300000e+01   1.1259564e+00
   8.1000000e-03   9.2300000e+01   1.1259564e+00
   8.1500000e-03   9.2300000e+01   1.1259564e+00
   8.2000000e-03   9.2100000e+01   1.0482790e+00
   8.2500000e-03   9.2000000e+01   1.0219806e+00
   8.3000000e-03   9.2000000e+01   1.0219806e+00
   8.3500000e-03   9.1900000e+01   9.9387010e-01
   8.4000000e-03   9.1800000e+01   9.5219046e-01
   8.4500000e-03   9.1800000e+01   9.5219046e-01
   8.5000000e-03   9.1700000e+01   9.3154591e-01
   8.5500000e-03   9.1700000e+01   9.3154591e-01
   8.6000000e-03   9.1700000e+01   9.3154591e-01
   8.6500000e-03   9.1700000e+01   9.3154591e-01
   8.7000000e-03   9.1600000e+01   9.0921211e-01
   8.7500000e-03   9.1400000e+01   9.2135166e-01
   8.8000000e-03   9.1300000e+01   9.7809338e-01
   8.8500000e-03   9.1200000e+01   9.7524926e-01
   8.9000000e-03   9.1200000e+01   9.7524926e-01
   8.9500000e-03   9.1200000e+01   9.7524926e-01
   9.0000000e-03   9.1200000e+01   9.7524926e-01
   9.0500000e-03   9.1200000e+01   9.7524926e-01
   9.1000000e-03   9.1000000e+01   9.8882646e-01
   9.1500000e-03   9.1000000e+01   9.8882646e-01
   9.2000000e-03   9.0900000e+01   9.7125349e-01
   9.2500000e-03   9.0500000e+01   1.0246951e+00
   9.3000000e-03   9.0500000e+01   1.0246951e+00
   9.3500000e-03   9.0400000e+01   1.0241528e+00
   9.4000000e-03   9.0400000e+01   1.0241528e+00
   9.4500000e-03   9.0500000e+01   9.9163165e-01
   9.5000000e-03   9.0500000e+01   9.6896279e-01
   9.5500000e-03   9.0400000e+01   9.9107125e-01
   9.6000000e-03   9.0300000e+01   9.7809338e-01
   9.6500000e-03   9.0100000e+01   9.2436164e-01
   9.7000000e-03   9.0000000e+01   9.7752522e-01
   9.7500000e-03   8.9900000e+01   9.5974534e-01
   9.8000000e-03   8.9700000e+01   1.0115994e+00
   9.8500000e-03   8.9700000e+01   1.0115994e+00
   9.9000000e-03   8.9600000e+01   9.7979590e-01
   9.9500000e-03   8.9600000e+01   9.7979590e-01
   1.0000000e-02   8.9500000e+01   1.0461570e+00
   1.0050000e-02   8.9300000e+01   1.0115994e+00
   1.0100000e-02   8.9300000e+01   1.0115994e+00
   1.0150000e-02   8.9200000e+01   1.0088497e+00
   1.0200000e-02   8.9000000e+01   1.0645813e+00
   1.0250000e-02   8.9000000e+01   1.0645813e+00
