     time (us)      	MABM		AB		AM		BM		A		B		ABM		M
   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.6500000e+02   6.6500000e+02   0.0000000e+00   3.7550000e+03
   1.0000000e+02   0.0000000e+00   0.0000000e+00   6.0416667e-01   7.0833333e-01   6.6439583e+02   6.6429167e+02   0.0000000e+00   3.7536875e+03
   2.0000000e+02   0.0000000e+00   4.1666667e-02   1.2291667e+00   1.4583333e+00   6.6372917e+02   6.6350000e+02   0.0000000e+00   3.7523125e+03
   3.0000000e+02   0.0000000e+00   4.1666667e-02   2.0000000e+00   2.0625000e+00   6.6295833e+02   6.6289583e+02   0.0000000e+00   3.7509375e+03
   4.0000000e+02   0.0000000e+00   4.1666667e-02   2.9791667e+00   2.4583333e+00   6.6197917e+02   6.6250000e+02   0.0000000e+00   3.7495625e+03
   5.0000000e+02   0.0000000e+00   4.1666667e-02   3.5625000e+00   2.9791667e+00   6.6139583e+02   6.6197917e+02   0.0000000e+00   3.7484583e+03
   6.0000000e+02   0.0000000e+00   4.1666667e-02   4.3333333e+00   3.8750000e+00   6.6062500e+02   6.6108333e+02   0.0000000e+00   3.7467917e+03
   7.0000000e+02   0.0000000e+00   6.2500000e-02   4.9375000e+00   4.4166667e+00   6.6000000e+02   6.6052083e+02   0.0000000e+00   3.7456458e+03
   8.0000000e+02   0.0000000e+00   8.3333333e-02   5.3958333e+00   4.9375000e+00   6.5952083e+02   6.5997917e+02   0.0000000e+00   3.7446667e+03
   9.0000000e+02   0.0000000e+00   8.3333333e-02   6.2291667e+00   5.5208333e+00   6.5868750e+02   6.5939583e+02   0.0000000e+00   3.7432500e+03
   1.0000000e+03   0.0000000e+00   1.0416667e-01   6.9166667e+00   5.7916667e+00   6.5797917e+02   6.5910417e+02   0.0000000e+00   3.7422917e+03
   1.1000000e+03   0.0000000e+00   1.0416667e-01   7.6041667e+00   6.4583333e+00   6.5729167e+02   6.5843750e+02   0.0000000e+00   3.7409375e+03
   1.2000000e+03   0.0000000e+00   1.0416667e-01   8.1666667e+00   6.9166667e+00   6.5672917e+02   6.5797917e+02   0.0000000e+00   3.7399167e+03
   1.3000000e+03   0.0000000e+00   1.2500000e-01   8.6250000e+00   7.5625000e+00   6.5625000e+02   6.5731250e+02   0.0000000e+00   3.7388125e+03
   1.4000000e+03   0.0000000e+00   1.2500000e-01   8.9375000e+00   8.0625000e+00   6.5593750e+02   6.5681250e+02   0.0000000e+00   3.7380000e+03
   1.5000000e+03   0.0000000e+00   1.2500000e-01   9.4166667e+00   8.5833333e+00   6.5545833e+02   6.5629167e+02   0.0000000e+00   3.7370000e+03
   1.6000000e+03   0.0000000e+00   1.2500000e-01   9.9166667e+00   8.9583333e+00   6.5495833e+02   6.5591667e+02   0.0000000e+00   3.7361250e+03
   1.7000000e+03   0.0000000e+00   1.2500000e-01   1.0416667e+01   9.4166667e+00   6.5445833e+02   6.5545833e+02   0.0000000e+00   3.7351667e+03
   1.8000000e+03   0.0000000e+00   1.2500000e-01   1.0791667e+01   1.0020833e+01   6.5408333e+02   6.5485417e+02   0.0000000e+00   3.7341875e+03
   1.9000000e+03   0.0000000e+00   1.4583333e-01   1.1333333e+01   1.0458333e+01   6.5352083e+02   6.5439583e+02   0.0000000e+00   3.7332083e+03
   2.0000000e+03   0.0000000e+00   1.4583333e-01   1.1666667e+01   1.0875000e+01   6.5318750e+02   6.5397917e+02   0.0000000e+00   3.7324583e+03
